CustomerID,Name,Age,Gender,Geography,Native_Place,Marital_Status,Tenure,Account_Type,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Monthly_Income,CreditScore,Loan_Status,EMI_Amount,Exited,Branch_Code,Account_Open_Date,Last_Transaction_Date,Customer_Review,Review_Sentiment,Sentiment_Score
CID000011,Priya Verma,27,Female,Uttar Pradesh,Delhi,Single,20,Savings,968996.26,2,0,1,1074154.03,89512.84,518,Gold,17029.31,0,BR049,2025-04-04,2024-11-03,Professional staff 🌟,Positive,0.9108184576034546
CID000012,Neha Kumar,80,Male,Telangana,Chennai,Married,1,Savings,747975.56,1,0,1,1105130.69,92094.22,843,Home,32756.81,0,BR011,2025-01-16,2025-04-16,Very satisfied 👍,Positive,0.9811439514160156
CID000013,Priya Sharma,49,Other,Maharashtra,Lucknow,Single,13,Joint,934706.26,2,1,0,678106.12,56508.84,434,Education,16710.93,0,BR002,2015-01-10,2024-07-07,Poor service 😠,Negative,0.9434412717819214
CID000014,Rohan Gupta,45,Other,Tamil Nadu,Bangalore,Divorced,2,Student,369527.09,2,1,1,1301019.98,108418.33,841,Multiple,0.0,0,BR039,2023-06-12,2025-03-29,Too many fees 💸,Negative,0.7381492853164673
CID000015,Neha Sharma,31,Other,Uttar Pradesh,Bangalore,Divorced,9,Student,717612.19,2,1,1,652018.25,54334.85,352,Personal,14313.35,0,BR006,2025-04-07,2024-12-02,App works fine 📱,Positive,0.8045811653137207
CID000016,Amit Iyer,74,Other,Gujarat,Jaipur,Single,3,Current,945050.94,2,0,1,1248517.22,104043.1,451,Gold,11730.29,0,BR047,2025-01-30,2024-11-19,Very satisfied 👍,Positive,0.9811439514160156
CID000017,Sunita Sharma,63,Other,Gujarat,Lucknow,Married,7,Premium,976206.03,2,1,0,522849.19,43570.77,640,Gold,7852.48,0,BR035,2023-07-09,2024-05-27,Excellent service! 😊,Positive,0.9848268032073975
CID000018,Ananya Kumar,46,Male,Rajasthan,Kolkata,Divorced,7,Student,23664.43,2,1,1,701485.51,58457.13,371,Education,16666.98,0,BR052,2019-04-17,2024-12-03,Poor service 😠,Negative,0.9434412717819214
CID000019,Neha Verma,51,Male,Delhi,Lucknow,Widowed,11,Joint,436393.88,1,1,0,658500.51,54875.04,746,Multiple,0.0,1,BR069,2017-08-08,2024-06-12,Reasonable fees 💲,Neutral,0.7338849306106567
CID000020,Rohan Iyer,60,Other,West Bengal,Delhi,Divorced,16,Senior Citizen,666892.9,3,1,1,1197942.46,99828.54,496,Gold,16620.75,0,BR087,2021-05-27,2024-07-10,Professional staff 🌟,Positive,0.9108184576034546
CID000021,Rahul Rao,18,Female,Tamil Nadu,Hyderabad,Widowed,18,Joint,464988.19,4,0,1,1628723.72,135726.98,473,Personal,30997.14,0,BR080,2017-10-15,2025-04-04,Staff is okay 👨‍💼,Positive,0.7161530256271362
CID000022,Sunita Singh,46,Male,Karnataka,Mumbai,Single,7,NRI,611273.97,1,1,1,1795046.44,149587.2,889,Auto,33183.62,0,BR064,2020-10-28,2025-01-17,Excellent service! 😊,Positive,0.9848268032073975
CID000023,Ananya Rao,31,Female,Telangana,Bangalore,Widowed,1,Student,917470.01,1,1,0,1642549.88,136879.16,843,Business,60911.77,1,BR079,2024-08-06,2024-10-15,Rude staff 😡,Negative,0.9344054460525513
CID000024,Priya Verma,78,Female,Tamil Nadu,Hyderabad,Divorced,16,NRI,626748.44,3,1,0,1484380.75,123698.4,540,Education,35078.98,1,BR011,2022-03-15,2025-03-05,Staff is okay 👨‍💼,Positive,0.7161530256271362
CID000025,Sunita Verma,26,Female,Gujarat,Kolkata,Widowed,13,Savings,206834.39,4,1,0,1742117.66,145176.47,889,Gold,21442.27,0,BR039,2016-07-23,2024-10-19,No waiting time ⚡,Neutral,0.6319148540496826
CID000026,Ananya Gupta,46,Female,Telangana,Chennai,Widowed,15,Savings,388857.2,4,0,1,1855174.92,154597.91,846,Multiple,0.0,0,BR076,2012-08-24,2024-06-16,Professional staff 🌟,Positive,0.9108184576034546
CID000027,Amit Rao,77,Male,Maharashtra,Chennai,Widowed,10,Student,454699.33,3,1,1,1553617.68,129468.14,731,Education,43176.47,0,BR003,2016-11-26,2024-08-18,Great mobile app 🥰,Positive,0.9832854866981506
CID000028,Amit Iyer,26,Other,Maharashtra,Mumbai,Married,6,Savings,621335.66,2,0,1,1405025.92,117085.49,877,Auto,23007.7,0,BR099,2021-03-03,2025-02-25,Excellent service! 😊,Positive,0.9848268032073975
CID000029,Ananya Rao,38,Female,Delhi,Lucknow,Single,9,Salary,396654.44,2,0,0,383422.35,31951.86,608,Personal,8934.47,1,BR006,2021-05-30,2024-08-22,Long waits ⏲️,Negative,0.6278406381607056
CID000030,Rohan Gupta,61,Male,Gujarat,Ahmedabad,Single,13,Joint,635585.11,4,0,1,517046.53,43087.21,834,Education,13425.6,0,BR100,2014-06-18,2024-09-25,No waiting time ⚡,Neutral,0.6319148540496826
CID000031,Neha Singh,49,Male,Tamil Nadu,Ahmedabad,Married,14,Salary,336396.62,4,1,0,1077589.88,89799.16,663,Education,25506.0,1,BR090,2019-02-09,2024-08-10,Very satisfied 👍,Positive,0.9811439514160156
CID000032,Rohan Verma,70,Female,Uttar Pradesh,Hyderabad,Widowed,20,NRI,448174.55,1,0,1,598873.52,49906.13,549,Education,15790.1,0,BR061,2012-11-21,2024-08-23,No waiting time ⚡,Neutral,0.6319148540496826
CID000033,Neha Singh,76,Female,Tamil Nadu,Chennai,Married,3,Student,315547.94,2,0,0,1529488.38,127457.36,583,Education,44361.67,0,BR038,2024-01-12,2024-11-18,Excellent service! 😊,Positive,0.9848268032073975
CID000034,Sunita Gupta,34,Female,Maharashtra,Mumbai,Divorced,4,NRI,102587.65,1,1,1,1061685.58,88473.8,648,Home,39507.95,0,BR062,2024-08-31,2025-04-18,Excellent service! 😊,Positive,0.9848268032073975
CID000035,Rahul Iyer,24,Male,Karnataka,Lucknow,Divorced,2,Student,118451.56,4,0,1,1010926.04,84243.84,753,Education,28307.33,0,BR040,2023-09-17,2024-07-08,Excellent service! 😊,Positive,0.9848268032073975
CID000036,Ananya Verma,45,Female,Delhi,Bangalore,Married,5,Current,156532.62,4,1,1,724266.72,60355.56,537,Education,19355.76,0,BR010,2021-06-14,2025-01-22,Rude staff 😡,Negative,0.9344054460525513
CID000037,Sunita Rao,43,Female,Delhi,Jaipur,Married,20,Premium,908411.45,2,0,0,498661.02,41555.08,614,Education,12213.68,1,BR089,2018-06-26,2024-05-28,Long waits ⏲️,Negative,0.6278406381607056
CID000038,Rahul Gupta,81,Female,Delhi,Lucknow,Single,13,Joint,603713.64,1,0,0,1931439.98,160953.33,889,Multiple,0.0,1,BR074,2024-05-27,2025-02-21,App crashes 📵,Negative,0.9142545461654663
CID000039,Neha Verma,73,Other,Rajasthan,Delhi,Widowed,11,Salary,333308.39,1,0,1,940961.16,78413.43,807,Education,24798.9,0,BR098,2019-02-19,2025-05-03,Great mobile app 🥰,Positive,0.9832854866981506
CID000040,Neha Singh,32,Female,Uttar Pradesh,Mumbai,Widowed,13,Savings,187582.54,3,1,1,1567982.96,130665.25,508,Education,39842.7,0,BR057,2014-06-08,2025-03-20,No waiting time ⚡,Neutral,0.6319148540496826
CID000041,Ananya Verma,38,Female,Uttar Pradesh,Mumbai,Widowed,2,Student,992257.14,1,1,0,1365877.44,113823.12,457,Multiple,73218.46,1,BR066,2024-07-16,2024-10-21,App crashes 📵,Negative,0.9142545461654663
CID000042,Amit Kumar,36,Female,Telangana,Lucknow,Married,2,Senior Citizen,772675.13,4,1,1,1676989.05,139749.09,589,Education,46640.92,0,BR085,2023-12-07,2025-03-06,Professional staff 🌟,Positive,0.9108184576034546
CID000043,Neha Singh,66,Female,West Bengal,Hyderabad,Married,18,Salary,233562.45,4,0,1,1540469.27,128372.44,690,Gold,25525.76,0,BR064,2024-06-22,2025-03-18,No waiting time ⚡,Neutral,0.6319148540496826
CID000044,Neha Rao,30,Female,Delhi,Jaipur,Widowed,0,Premium,409978.62,2,0,1,1606745.52,133895.46,571,Business,55208.57,0,BR084,2025-04-21,2024-12-04,Long wait ⏱️,Negative,0.7351260185241699
CID000045,Priya Singh,80,Other,Maharashtra,Lucknow,Single,7,Senior Citizen,997425.92,1,1,0,1568665.45,130722.12,402,Multiple,74071.92,1,BR004,2024-10-15,2024-12-06,Long waits ⏲️,Negative,0.6278406381607056
CID000046,Neha Singh,73,Male,Telangana,Jaipur,Widowed,18,Premium,169983.65,1,1,0,1095801.05,91316.75,897,Home,34081.13,1,BR033,2014-12-31,2025-01-11,App crashes 📵,Negative,0.9142545461654663
CID000047,Neha Iyer,38,Male,Rajasthan,Kolkata,Divorced,20,Salary,690313.51,4,1,0,1998872.42,166572.7,794,Personal,37265.74,1,BR046,2012-05-31,2024-12-21,Long waits ⏲️,Negative,0.6278406381607056
CID000048,Rohan Rao,68,Female,Maharashtra,Lucknow,Single,19,NRI,832838.9,3,0,1,594208.17,49517.35,494,Education,15735.45,0,BR081,2023-02-16,2024-07-04,Great mobile app 🥰,Positive,0.9832854866981506
CID000049,Ananya Kumar,22,Other,West Bengal,Bangalore,Single,9,Joint,747480.86,2,0,0,1615723.06,134643.59,674,Education,44842.68,0,BR062,2021-12-30,2024-11-29,Reasonable fees 💲,Neutral,0.7338849306106567
CID000050,Rohan Verma,46,Other,Gujarat,Jaipur,Divorced,2,Salary,13918.66,1,1,1,1411091.09,117590.92,568,Gold,21429.97,0,BR014,2023-05-31,2025-01-22,No waiting time ⚡,Neutral,0.6319148540496826
CID000051,Rahul Singh,46,Other,Delhi,Ahmedabad,Divorced,20,Salary,116675.94,1,0,1,1992669.27,166055.77,418,Personal,37110.14,0,BR018,2016-08-03,2024-10-01,No waiting time ⚡,Neutral,0.6319148540496826
CID000052,Priya Gupta,37,Female,Delhi,Ahmedabad,Widowed,8,Savings,690280.66,2,1,1,1910999.31,159249.94,671,Personal,47471.26,0,BR070,2018-01-27,2024-11-19,Great mobile app 🥰,Positive,0.9832854866981506
CID000053,Amit Sharma,76,Male,Telangana,Lucknow,Single,1,Joint,243568.9,2,0,0,1693672.11,141139.34,867,Auto,29447.07,0,BR043,2025-02-05,2024-07-20,Very satisfied 👍,Positive,0.9811439514160156
CID000054,Amit Gupta,50,Male,Delhi,Mumbai,Married,0,Joint,789984.66,2,1,0,513643.16,42803.6,353,Home,18156.08,1,BR015,2025-04-21,2024-09-20,Long waits ⏲️,Negative,0.6278406381607056
CID000055,Rahul Gupta,31,Female,Uttar Pradesh,Hyderabad,Single,16,Senior Citizen,458042.52,1,0,1,1725137.38,143761.45,736,Personal,35800.47,0,BR010,2023-06-30,2024-12-08,Excellent service! 😊,Positive,0.9848268032073975
CID000056,Amit Singh,59,Female,Uttar Pradesh,Chennai,Widowed,16,Salary,99178.46,1,0,1,1012798.85,84399.9,533,Gold,11300.57,0,BR052,2015-12-23,2025-04-03,Great mobile app 🥰,Positive,0.9832854866981506
CID000057,Sunita Singh,65,Male,Rajasthan,Delhi,Single,2,Current,431876.52,3,0,0,1255637.15,104636.43,875,Business,43633.53,1,BR046,2023-06-10,2024-10-17,Poor service 😠,Negative,0.9434412717819214
CID000058,Neha Gupta,57,Female,Delhi,Lucknow,Married,4,NRI,224244.87,1,1,1,406793.56,33899.46,585,Auto,7821.36,0,BR099,2021-10-26,2024-07-11,No waiting time ⚡,Neutral,0.6319148540496826
CID000059,Rohan Gupta,52,Male,Karnataka,Chennai,Divorced,10,Joint,6105.79,2,1,0,455374.38,37947.86,331,Personal,10420.91,0,BR049,2020-08-06,2024-10-01,Great mobile app 🥰,Positive,0.9832854866981506
CID000060,Neha Iyer,59,Other,Delhi,Mumbai,Married,5,Savings,673968.71,3,1,1,1074191.07,89515.92,752,Gold,11396.87,0,BR015,2023-05-16,2024-10-13,No waiting time ⚡,Neutral,0.6319148540496826
CID000061,Priya Gupta,57,Male,Telangana,Pune,Single,0,Student,301419.36,2,0,1,721004.84,60083.74,422,Multiple,0.0,0,BR096,2025-04-21,2025-02-21,No waiting time ⚡,Neutral,0.6319148540496826
CID000062,Sunita Verma,82,Other,West Bengal,Delhi,Widowed,1,Salary,18741.54,1,1,1,1232119.43,102676.62,727,Education,26851.72,0,BR042,2025-01-24,2024-07-09,Great mobile app 🥰,Positive,0.9832854866981506
CID000063,Rohan Kumar,31,Male,Gujarat,Lucknow,Widowed,16,Current,395766.7,3,1,0,799523.52,66626.96,472,Personal,16726.59,0,BR068,2013-11-13,2025-02-11,Long waits ⏲️,Negative,0.6278406381607056
CID000064,Neha Iyer,36,Male,Delhi,Bangalore,Divorced,6,Premium,602398.99,1,0,1,1035115.52,86259.63,877,Multiple,53318.23,1,BR083,2021-09-06,2024-07-04,App crashes 📵,Negative,0.9142545461654663
CID000065,Rohan Kumar,74,Other,Tamil Nadu,Chennai,Single,11,Current,310407.85,4,0,0,863727.68,71977.31,593,Personal,19035.6,0,BR079,2018-08-23,2024-09-04,No waiting time ⚡,Neutral,0.6319148540496826
CID000066,Rahul Rao,23,Female,Telangana,Kolkata,Widowed,16,Premium,957722.36,4,0,1,1968294.05,164024.5,386,Home,58050.6,0,BR057,2013-07-20,2024-08-27,Great mobile app 🥰,Positive,0.9832854866981506
CID000067,Neha Singh,67,Female,West Bengal,Lucknow,Single,20,Joint,65911.85,1,1,1,653592.41,54466.03,453,Business,19507.02,0,BR045,2018-05-07,2024-06-20,Professional staff 🌟,Positive,0.9108184576034546
CID000068,Amit Gupta,28,Female,Uttar Pradesh,Pune,Divorced,4,Current,646024.82,4,1,0,852675.8,71056.32,484,Auto,13086.67,1,BR025,2024-01-14,2025-03-12,App works fine 📱,Positive,0.8045811653137207
CID000069,Ananya Rao,30,Other,Uttar Pradesh,Jaipur,Single,10,Premium,597246.44,2,0,0,1696421.1,141368.43,469,Multiple,78370.31,1,BR087,2017-03-27,2025-01-20,Rude staff 😡,Negative,0.9344054460525513
CID000070,Neha Rao,75,Male,Uttar Pradesh,Hyderabad,Divorced,15,Student,367840.96,4,1,1,1600623.27,133385.27,814,Gold,26227.12,0,BR078,2022-03-15,2025-01-13,Professional staff 🌟,Positive,0.9108184576034546
CID000071,Ananya Singh,31,Other,Uttar Pradesh,Delhi,Divorced,2,Premium,272791.3,2,1,0,1903543.87,158628.66,527,Multiple,101278.53,0,BR054,2025-02-26,2024-10-31,Very satisfied 👍,Positive,0.9811439514160156
CID000072,Priya Sharma,65,Male,Maharashtra,Kolkata,Single,20,Joint,791380.64,2,0,1,1851313.11,154276.09,783,Home,65703.74,0,BR058,2011-07-04,2025-05-19,Poor service 😠,Negative,0.9434412717819214
CID000073,Neha Verma,37,Other,Uttar Pradesh,Pune,Single,9,Student,301151.19,1,0,1,1350113.12,112509.43,768,Personal,23749.14,0,BR077,2019-04-18,2025-05-13,No waiting time ⚡,Neutral,0.6319148540496826
CID000074,Amit Iyer,36,Female,Gujarat,Mumbai,Divorced,7,Salary,187313.91,1,1,0,1916126.62,159677.22,857,Multiple,0.0,0,BR061,2024-10-25,2024-06-30,Great mobile app 🥰,Positive,0.9832854866981506
CID000075,Neha Iyer,20,Female,Delhi,Kolkata,Married,20,Current,771501.37,3,0,0,834138.28,69511.52,646,Home,30101.16,1,BR090,2014-07-28,2024-07-02,Staff is okay 👨‍💼,Positive,0.7161530256271362
CID000076,Rohan Iyer,76,Male,Tamil Nadu,Hyderabad,Single,6,Savings,315595.82,3,1,1,655964.78,54663.73,495,Education,15617.29,0,BR084,2021-08-01,2025-01-02,Great mobile app 🥰,Positive,0.9832854866981506
CID000077,Priya Kumar,74,Female,West Bengal,Bangalore,Widowed,15,Joint,924310.47,3,0,1,342068.61,28505.72,484,Education,8042.07,0,BR042,2010-06-25,2024-12-21,No waiting time ⚡,Neutral,0.6319148540496826
CID000078,Sunita Kumar,39,Other,Rajasthan,Kolkata,Widowed,1,Joint,614851.48,4,1,0,335074.1,27922.84,715,Business,11205.68,1,BR004,2025-02-07,2024-07-14,App crashes 📵,Negative,0.9142545461654663
CID000079,Rohan Verma,26,Male,West Bengal,Kolkata,Widowed,18,Savings,605094.83,4,1,1,999090.72,83257.56,378,Home,33548.3,0,BR041,2010-09-26,2024-12-30,Excellent service! 😊,Positive,0.9848268032073975
CID000080,Rohan Iyer,41,Female,Uttar Pradesh,Pune,Single,8,Senior Citizen,704037.81,2,1,1,560321.01,46693.42,438,Personal,11449.43,0,BR012,2017-08-28,2024-12-09,Excellent service! 😊,Positive,0.9848268032073975
CID000081,Rahul Gupta,55,Female,Karnataka,Bangalore,Divorced,16,Student,121362.46,2,0,0,1622671.51,135222.63,326,Business,54819.54,1,BR060,2012-12-06,2025-03-16,Poor service 😠,Negative,0.9434412717819214
CID000082,Rohan Singh,68,Other,Rajasthan,Jaipur,Widowed,13,Current,125326.78,3,0,1,1038499.76,86541.65,829,Business,31400.21,0,BR082,2021-03-23,2025-03-16,Excellent service! 😊,Positive,0.9848268032073975
CID000083,Ananya Sharma,84,Male,Tamil Nadu,Bangalore,Married,10,Student,346023.08,3,0,1,553343.46,46111.95,864,Education,12105.17,0,BR079,2019-04-28,2025-04-04,Very satisfied 👍,Positive,0.9811439514160156
CID000084,Rahul Gupta,37,Male,West Bengal,Lucknow,Single,0,Current,45461.8,3,0,1,1312595.17,109382.93,331,Multiple,69884.72,0,BR038,2025-04-21,2024-09-16,Professional staff 🌟,Positive,0.9108184576034546
CID000085,Neha Kumar,27,Other,Maharashtra,Bangalore,Widowed,13,NRI,464442.16,3,0,1,1750673.14,145889.43,626,Business,65290.98,0,BR098,2016-12-29,2024-08-31,Great mobile app 🥰,Positive,0.9832854866981506
CID000086,Amit Kumar,33,Female,Rajasthan,Hyderabad,Married,3,Savings,290212.0,4,1,0,1932834.53,161069.54,463,Business,71414.23,1,BR025,2024-05-30,2024-09-08,App crashes 📵,Negative,0.9142545461654663
CID000087,Priya Singh,81,Male,Delhi,Pune,Widowed,7,Student,583344.11,1,0,1,1090809.57,90900.8,781,Education,27603.76,0,BR056,2023-10-21,2025-01-06,Reasonable fees 💲,Neutral,0.7338849306106567
CID000088,Neha Sharma,69,Male,Uttar Pradesh,Hyderabad,Divorced,17,Senior Citizen,73531.75,4,1,0,431594.1,35966.17,399,Gold,4938.87,1,BR072,2017-02-07,2025-03-09,Long wait ⏱️,Negative,0.7351260185241699
CID000089,Priya Gupta,23,Male,Maharashtra,Bangalore,Divorced,15,NRI,148940.66,2,1,1,492503.68,41041.97,606,Business,16446.81,1,BR069,2014-04-27,2024-05-24,App crashes 📵,Negative,0.9142545461654663
CID000090,Ananya Sharma,65,Female,Delhi,Pune,Divorced,20,Savings,596909.62,3,0,0,1250341.9,104195.16,474,Gold,11959.27,0,BR005,2012-06-18,2024-05-28,Excellent service! 😊,Positive,0.9848268032073975
CID000091,Priya Singh,71,Male,Gujarat,Hyderabad,Widowed,16,NRI,872817.71,1,0,0,1209596.19,100799.68,789,Gold,13242.58,0,BR059,2013-05-07,2024-11-27,Great mobile app 🥰,Positive,0.9832854866981506
CID000092,Rahul Kumar,42,Male,Tamil Nadu,Jaipur,Divorced,7,Senior Citizen,771174.27,2,1,1,1063646.16,88637.18,873,Education,24710.18,0,BR087,2019-03-20,2024-11-08,Reasonable fees 💲,Neutral,0.7338849306106567
CID000093,Ananya Singh,36,Female,Maharashtra,Chennai,Single,11,NRI,655972.05,4,0,0,1690313.07,140859.42,577,Education,37148.47,1,BR095,2018-09-22,2025-01-19,Long wait ⏱️,Negative,0.7351260185241699
CID000094,Amit Iyer,47,Male,Delhi,Pune,Divorced,15,Current,681191.99,2,0,0,932433.41,77702.78,787,Multiple,47791.4,1,BR042,2018-11-26,2024-06-25,Excellent service! 😊,Positive,0.9848268032073975
CID000095,Sunita Gupta,47,Other,Maharashtra,Bangalore,Widowed,5,Savings,997171.8,4,1,0,1885895.74,157157.98,596,Multiple,0.0,0,BR039,2022-02-13,2024-07-17,Great mobile app 🥰,Positive,0.9832854866981506
CID000096,Neha Kumar,85,Female,Karnataka,Jaipur,Widowed,8,Student,808813.88,3,0,1,1366913.61,113909.47,490,Multiple,0.0,0,BR038,2018-12-09,2024-06-10,Staff is okay 👨‍💼,Positive,0.7161530256271362
CID000097,Rahul Rao,69,Female,Uttar Pradesh,Kolkata,Single,12,Current,184781.2,2,1,1,1884485.7,157040.48,306,Education,45283.79,0,BR097,2019-04-26,2024-12-04,No waiting time ⚡,Neutral,0.6319148540496826
CID000098,Rohan Singh,64,Other,Telangana,Mumbai,Single,14,Senior Citizen,159716.83,3,0,1,861579.03,71798.25,526,Auto,17643.42,0,BR020,2015-02-06,2024-07-15,No waiting time ⚡,Neutral,0.6319148540496826
CID000099,Priya Rao,45,Male,Delhi,Jaipur,Widowed,16,Joint,78102.72,1,0,0,1230863.01,102571.92,453,Home,39265.74,1,BR057,2022-09-12,2024-06-07,Long wait ⏱️,Negative,0.7351260185241699
CID000100,Priya Sharma,83,Female,Maharashtra,Ahmedabad,Married,16,Salary,456798.48,1,1,1,1501904.14,125158.68,705,Education,41508.29,0,BR075,2023-09-01,2025-04-28,Excellent service! 😊,Positive,0.9848268032073975
CID000101,Rahul Sharma,26,Female,Maharashtra,Chennai,Widowed,5,Premium,765827.68,4,1,1,1007366.84,83947.24,686,Gold,9068.4,0,BR018,2021-08-22,2024-11-24,No waiting time ⚡,Neutral,0.6319148540496826
CID000102,Priya Gupta,34,Other,Telangana,Mumbai,Single,9,NRI,673499.86,4,1,0,645521.67,53793.47,654,Home,20310.53,0,BR005,2017-11-25,2024-10-19,Excellent service! 😊,Positive,0.9848268032073975
CID000103,Amit Verma,26,Male,Maharashtra,Ahmedabad,Single,7,Savings,402265.35,2,0,0,452244.04,37687.0,596,Auto,8727.5,1,BR041,2018-10-30,2024-07-19,Long waits ⏲️,Negative,0.6278406381607056
CID000104,Amit Singh,36,Other,Uttar Pradesh,Hyderabad,Widowed,9,Senior Citizen,60957.64,2,1,1,284391.37,23699.28,652,Gold,4232.23,0,BR090,2020-08-20,2024-10-24,Professional staff 🌟,Positive,0.9108184576034546
CID000105,Amit Rao,78,Male,Telangana,Chennai,Married,14,Savings,562385.95,4,0,1,637145.33,53095.44,508,Business,22017.12,1,BR048,2023-03-26,2024-08-20,Too many fees 💸,Negative,0.7381492853164673
CID000106,Rohan Singh,66,Other,Maharashtra,Delhi,Married,18,Student,479394.21,3,1,0,581253.99,48437.83,494,Personal,13305.29,1,BR032,2009-09-14,2024-07-16,App crashes 📵,Negative,0.9142545461654663
CID000107,Amit Gupta,59,Female,Gujarat,Ahmedabad,Divorced,9,Senior Citizen,359644.62,4,1,0,1645069.92,137089.16,780,Business,60515.69,1,BR041,2020-08-30,2025-04-28,Too many fees 💸,Negative,0.7381492853164673
CID000108,Sunita Verma,20,Female,Uttar Pradesh,Lucknow,Widowed,9,Premium,196191.78,2,1,0,1098742.67,91561.89,645,Education,29879.95,1,BR093,2018-02-09,2024-09-12,Long waits ⏲️,Negative,0.6278406381607056
CID000109,Amit Verma,80,Male,Uttar Pradesh,Mumbai,Single,2,Savings,764338.84,4,0,0,322342.29,26861.86,454,Multiple,0.0,0,BR065,2024-01-11,2024-11-11,No waiting time ⚡,Neutral,0.6319148540496826
CID000110,Priya Iyer,80,Male,Maharashtra,Jaipur,Widowed,0,Savings,529417.65,3,1,0,1103988.86,91999.07,740,Home,33184.22,0,BR068,2025-04-21,2025-01-18,No waiting time ⚡,Neutral,0.6319148540496826
CID000111,Neha Rao,63,Female,Gujarat,Delhi,Divorced,12,NRI,565002.18,2,1,0,1376724.3,114727.03,332,Personal,27595.04,0,BR071,2014-08-18,2025-04-23,Very satisfied 👍,Positive,0.9811439514160156
CID000112,Rohan Kumar,73,Other,West Bengal,Lucknow,Single,16,Savings,229766.5,4,1,0,1863486.68,155290.56,587,Multiple,0.0,0,BR041,2024-12-14,2025-02-04,Professional staff 🌟,Positive,0.9108184576034546
CID000113,Rohan Singh,38,Other,Telangana,Lucknow,Widowed,17,Joint,383846.21,2,0,1,296653.58,24721.13,747,Auto,5781.47,0,BR078,2011-07-16,2024-07-21,Great mobile app 🥰,Positive,0.9832854866981506
CID000114,Rohan Iyer,52,Female,Rajasthan,Hyderabad,Divorced,17,Salary,431847.95,4,0,1,1636499.31,136374.94,375,Personal,30929.45,0,BR092,2011-02-02,2025-03-04,App works fine 📱,Positive,0.8045811653137207
CID000115,Neha Sharma,29,Male,Tamil Nadu,Ahmedabad,Divorced,8,Current,132507.0,2,1,1,1202573.06,100214.42,824,Gold,11056.59,0,BR046,2019-02-02,2025-04-04,Great mobile app 🥰,Positive,0.9832854866981506
CID000116,Ananya Kumar,19,Female,Gujarat,Pune,Single,17,Student,571960.43,2,1,0,449912.11,37492.68,608,Education,11222.02,0,BR022,2015-07-23,2024-12-31,Professional staff 🌟,Positive,0.9108184576034546
CID000117,Ananya Sharma,64,Female,Telangana,Ahmedabad,Married,14,Current,135489.53,1,1,1,1714904.1,142908.68,689,Business,56309.21,0,BR084,2011-12-22,2025-03-13,No waiting time ⚡,Neutral,0.6319148540496826
